content,day,time,noon,venue,Id_program,sections,transaction,title,abstract,authors,track,invited,invited_keynote,authors_affiliation
Reliability Optimization in Hafnium Oxide Based Ferroelectric Field-effect Transistors (FeFETs),11 March 2025 (Tuesday),9:45am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-2-2,9:25am to 10:50am,EDTM25-000140,Reliability Optimization in Hafnium Oxide Based Ferroelectric Field-effect Transistors (FeFETs),"Hafnium oxide based ferroelectric field effect transistors (FeFETs) are promising candidates for next-generation memory, but are limited by reliability issues including endurance, variation and write disturb. This paper discusses the main causes of these reliability issues and our corresponding optimization strategies. A high endurance > 5×109 is achieved via co-optimization of the ferroelectric and interlayer. Variation of Vth is reduced by 36% through ferroelectric grain size engineering. Nearly disturb-free operation is demonstrated with our proposed self-compensated write scheme.","Kechao Tang,Yuejia Zhou,Zhongxin Liang,Ru Huang",04 Memory Technologies,1,[Invited],"Kechao Tang, Peking University, China "
Comprehensive Investigation of the Disturb and Retention Issues in Scaled FeNAND Arrays,11 March 2025 (Tuesday),10:05am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-2-3,9:25am to 10:50am,EDTM25-000147,Comprehensive Investigation of the Disturb and Retention Issues in Scaled FeNAND Arrays,"HfO2-based ferroelectric field-effect transistor (FeFET) is a viable solution for next-generation 3D NAND technology. This work comprehensively investigates the array-level reliability of scaled FeNAND arrays, featuring the first exploration of the significant impact of adjacent cell interactions on both disturb and retention issues. Array-level disturb-free operation in 3 bits/cell storage is achieved by addressing disturb issues. New insights into the mechanisms underlying cell-to-cell disturb and retention degradation are provided, highlighting the critical role of electric field and charge coupling between adjacent cells.","Yuejia Zhou,Kechao Tang,Ru Huang",04 Memory Technologies,0,,"Yuejia Zhou,Kechao Tang,Ru Huang, Peking University, China "
Unveiling the Role of Oxygen Vacancy Inhomogeneity in Enhancing the Reliability of Ferroelectric HfO₂/ZrO₂,11 March 2025 (Tuesday),10:20am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-2-4,9:25am to 10:50am,EDTM25-000329,Unveiling the Role of Oxygen Vacancy Inhomogeneity in Enhancing the Reliability of Ferroelectric HfO₂/ZrO₂ Superlattice Structures,"The HfO₂/ZrO₂ ferroelectric superlattice (SL) structure is a promising material for Back-End-of-Line-compatible ferroelectric memory applications, though questions remain regarding its reliability mechanisms. In this work, for the first time, we have provided physical evidence of the uneven oxygen vacancy distribution within the SL structure. This inhomogeneity distribution not only mitigates the wake-up effect but also significantly enhances reliability, such as improved breakdown voltage and endurance. Our findings offer valuable insights for advancing SL ferroelectric thin films in memory technology.","Boyao 崔,Maokun Wu,Sheng Ye,Xuepei Wang,Yuchun Li,Yishan Wu,Yichen Wen,Jinhao Liu,Zhigang Ji,Hongliang Lu,David Wei Zhang,Runsheng Wang,Ru Huang",04 Memory Technologies,0,,"Boyao Cui, Maokun Wu, Sheng Ye,Xuepei Wang,Yuchun Li,Yishan Wu,Yichen Wen,Jinhao Liu,Zhigang Ji,Hongliang Lu,David Wei Zhang,Runsheng Wang, Ru Huang, Shanghai Jiaotong Unversity, China "
"A Novel Superlattice HfO2-ZrO2 Ferroelectric Tunnel FET for Overall Improvement in Memory Window, EOT",11 March 2025 (Tuesday),10:35am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-2-5,9:25am to 10:50am,EDTM25-000510,"A Novel Superlattice HfO2-ZrO2 Ferroelectric Tunnel FET for Overall Improvement in Memory Window, EOT and Disturb Immunity","In this paper, a novel superlattice (SL) HfO2-ZrO2 ferroelectric (FE) junction-modulated tunnel FET (TFET) is proposed and experimentally demonstrated with overall improvement in memory window (MW), equivalent oxide thickness (EOT) and disturb immunity. The gate stack is optimized with SL FE layer for larger MW and smaller EOT simultaneously which usually has an optimization conflict in conventional FE layer. In addition, a more abrupt tunnel junction is introduced by a striped gate stack design, which is found to further increase the MW. The fabricated novel SL FE-JTFET demonstrates a 2.6× improvement in MW along with a 19% reduction in EOT comparing to FE-TFET, which is very beneficial for practical read current margin improvement. Moreover, the SL FE layer can also mitigate the disturb issue in the memory operations, showing the great potential of proposed device for practical low-power and high-robust memory applications.","Shaodi Xu,Zhiyuan Fu,Shengjie Cao,Yue Yu,Hao Zheng,Qianqian Huang,Ru Huang",04 Memory Technologies,0,,"Shaodi Xu, Zhiyuan Fu,Shengjie Cao,Yue Yu,Hao Zheng,Qianqian Huang,Ru Huang, Peking University, China "
Phonon-mediated long-wave infrared response in PbSe/SrTiO3 heterostructure,11 March 2025 (Tuesday),9:25am,morning," Multifunction Hall 1, 2/F, 17W",T-5-3-1,9:25am to 10:50am,EDTM25-000361,Phonon-mediated long-wave infrared response in PbSe/SrTiO3 heterostructure,"The hot carriers-assisted photo-thermoelectric (PTE) infrared detector features ultrafast response and ultrahigh sensitivity. However, it suffers from a narrow response spectrum because the absorption is inherently limited by the material bandgap. Herein, we propose a phonon-mediated long-wave infrared response in PbSe/SrTiO3 heterostructure, in which the phonon absorption of SrTiO3 substrate greatly extend the photoresponse of hot carriers-assisted PTE infrared detector of PbSe from middle infrared to long-wave infrared. As a result, we achieve a responsivity of 3.2 mA W-1 (10 μm) at room temperature, indicating the promising applications of PbSe/SrTiO3 heterostructure for long-wave infrared sensing.","Bowen Guo,Yu Wan,Zhe Cheng,Qisheng Wang","05 Photonics, Imaging and Display",0,,"Bowen Guo, Yu Wan,Zhe Cheng,Qisheng Wang, Nanchang University, China "
Ultrafast Photoresponse of Vertical Diodes Utilizing WSe2/ITO Schottky Junctions,11 March 2025 (Tuesday),9:40am,morning," Multifunction Hall 1, 2/F, 17W",T-5-3-2,9:25am to 10:50am,EDTM25-000090,Ultrafast Photoresponse of Vertical Diodes Utilizing WSe2/ITO Schottky Junctions,"Schottky diodes are widely utilized in optoelectronics. In this study, we fabricated a vertical photodiode using a WSe2/ITO Schottky junction. The device exhibited an impressively low dark current of 0.7 pA and an ultrafast light response time of 13 ns, with a broadband photo-response across the entire visible spectrum. These exceptional results offer a promising approach for developing high-performance photodiodes in the future.","Xixi Jiang,Jingli Wang,Shukui Zhang,Qingqing Sun,Jiewei Chen,Yang Chai","05 Photonics, Imaging and Display",0,,"Xixi Jiang,Jingli Wang,Shukui Zhang,Qingqing Sun,Jiewei Chen,Yang Chai, The Hong Kong Polytechnic University, Hong Kong "
Van der Waals Interfacial Engineering for High-Performance Macroscopic Assembled Graphene (MAG)-Silicon,11 March 2025 (Tuesday),9:55am,morning," Multifunction Hall 1, 2/F, 17W",T-5-3-3,9:25am to 10:50am,EDTM25-000153,Van der Waals Interfacial Engineering for High-Performance Macroscopic Assembled Graphene (MAG)-Silicon Schottky Photodiodes,"In 2D layered systems, converting excessive photoexcited energy into an electrical response before losing it to the substrate is crucial for energy-efficient photodetection. These hot electron energy losses at photoemission junctions limit the carrier transfer, sensitivity, and modulation frequencies. Our study showcases improved photoresponse in macroscopic assembled graphene (MAG)/Si Schottky junctions by inserting a graphene (Gr) layer that electronically decouples MAG from Si. This van der Waals (vdW) engineering interface effectively suppresses dark current while maintaining hot carrier re-thermalization in the MAG film, leading to enhanced photo thermionic emission (PTI). This vdW interfacial engineering technique has broader implications in energy-efficient electronics, optoelectronics, and memory devices. ","Srikrishna Chanakya Bodepudi,Muhammad Abid Anwar,Muhammad Malik,Xiaolei Ding,Yance Chen,Yue Dai,Zongwen Li,Zhi-Xiang Zhang,Yunfei Xie,Wenzhang Fang,Huan Hu,Bin Yu,Yang Xu","05 Photonics, Imaging and Display",0,,"Srikrishna Chanakya Bodepudi, Muhammad Abid Anwar,Muhammad Malik,Xiaolei Ding,Yance Chen,Yue Dai,Zongwen Li,Zhi-Xiang Zhang,Yunfei Xie,Wenzhang Fang,Huan Hu,Bin Yu,Yang Xu, College of Integrated Circuits, Zhejiang University, China "
Polarization regulation in AlGaN solar-blind ultraviolet photodetectors,11 March 2025 (Tuesday),10:10am,morning," Multifunction Hall 1, 2/F, 17W",T-5-3-4,9:25am to 10:50am,EDTM25-000378,Polarization regulation in AlGaN solar-blind ultraviolet photodetectors,"This paper presents the impact of polarization effect on AlGaN-based solar-blind photodetectors. The impact of polarization heterojunction on charge distribution, electric field modulation and device performance are investigated for both planar and vertical device structure. Results shows that polarization heterojunction enhanced the channel conductance and carrier separation efficiency of planar structure device. For vertical structure, polarization charge present an enhanced carrier transportation under higher voltage, while the carrier screening effect in vertical transportation regime suppress the polarization enhancement under low bias.","Bingxiang Wang,Ke Jiang,Tong Fang,Xiaojuna Sun,Dabing Li","05 Photonics, Imaging and Display",0,,"Bingxiang Wang,Ke Jiang,Tong Fang,Xiaojuna Sun,Dabing Li, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, China, China "
Pixelated Germanium-on-Silicon Photodetector with High Responsivity for Short Wavelength Infrared Imaging,11 March 2025 (Tuesday),10:25am,morning," Multifunction Hall 1, 2/F, 17W",T-5-3-5,9:25am to 10:50am,EDTM25-000395,Pixelated Germanium-on-Silicon Photodetector with High Responsivity for Short Wavelength Infrared Imaging,"We present a novel short-wavelength infrared detector, the Ge-on-Si photodiode-body-biased MOSFET (GePD-MOS), which offers high sensitivity, a broad spectral range, and CMOS compatibility. This detector achieves responsivities of 1000 A/W at 1310 nm and 800 A/W at 1550 nm, with a spectral response extending to 1.9 µm due to its unique internal amplification mechanism. The GePD-MOS demonstrates adjustable responsivity and maintains low dark current, highlighting its potential for various applications in SWIR imaging.","Zhou Zhou,Chao Gao,Xin Jin,Xiaolin Liu,Kai Wang","05 Photonics, Imaging and Display",0,,"Zhou Zhou,Chao Gao,Xin Jin,Xiaolin Liu,Kai Wang, Sun Yat-sen University, China "
Graphene/Silicon Pixel Array with Integrated Imaging and Readout System,11 March 2025 (Tuesday),10:40am,morning," Multifunction Hall 1, 2/F, 17W",T-5-3-6,9:25am to 10:50am,EDTM25-000459,Graphene/Silicon Pixel Array with Integrated Imaging and Readout System,"Driven by advances in intelligent imaging and sensing technologies, the integration between novel materials and silicon (Si)-based optoelectronics processes is significantly expanding the functionality of optoelectronic devices. Herein, we have fabricated a state-of-the-art graphene (Gr)/Si heterojunction photodetector with 3x3 pixel array, demonstrating promising photoelectric detection behavior. This work provides a simplified device model for performance simulation and designed a readout circuit that enhances efficiency and reduces noise, achieving effective signal processing for Gr/Si integrated imaging and readout.","Yuan Ma,Zongwen Li,Youshui He,Qianqian Zhang,Yunfei Xie,Zhi-Xiang Zhang,Feng Tian,Muhammad Abid Anwar,Muhammad Malik,Srikrishna Chanakya Bodepudi,Bin Yu,Yuda Zhao,Yang Xu","05 Photonics, Imaging and Display",0,,"Yuan Ma,Zongwen Li,Youshui He,Qianqian Zhang,Yunfei Xie,Zhi-Xiang Zhang,Feng Tian,Muhammad Abid Anwar, Muhammad Malik,Srikrishna Chanakya Bodepudi,Bin Yu,Yuda Zhao,Yang Xu, Zhejiang University, China "
"50 nm GaN HEMTs Technology with High Frequency, low Noise, and High JFoM",11 March 2025 (Tuesday),9:25am,morning," Multifunction Hall 2&3, 2/F, 17W",T-6-2-1,9:25am to 10:50am,EDTM25-000258,"50 nm GaN HEMTs Technology with High Frequency, low Noise, and High JFoM","Our 50 nm GaN HEMTs with source-to-drain length (Lsd) of 200 nm reached cut-off frequencies fT/fmax of 230/525 GHz. W-band load-pull measurements indicate a 7.4 dB linear gain, 15.8 dBm output power, and 15% efficiency. A low noise figure of 1 dB is achieved from 25-35 GHz. Devices with 5 μm Lsd exhibited a breakdown voltage of 180 V and a fT of 117 GHz, resulting in a JFoM of 21 THz·V.","Changxin Mi,Zhe Cheng,Lian Zhang,Yun Zhang,Jiaheng He,Xuankun Wu,Shujie Xie",06 Wide-Bandgap Power and RF Devices,1,[Invited],"Yun Zhang, University of Chinese Academy of Sciences, China "
GaN-on-silicon microwave transistors without any C or Fe doping,11 March 2025 (Tuesday),9:45am,morning," Multifunction Hall 2&3, 2/F, 17W",T-6-2-2,9:25am to 10:50am,EDTM25-000685,GaN-on-silicon microwave transistors without any C or Fe doping,"We shall discuss the recent trends in GaN-on-silicon microwave HEMTs and present our results on HEMTs with a polarization-graded AlGaN buffer without C or Fe-doping anywhere in the stack. Fabrication details of 200 nm multi-finger HEMTs will be presented besides their C-band and X-band power performance. Finally, for the first time, we shall report on linearity measurements, i.e., OIP3 data on GaN-on-silicon microwave.   ","Digbijoy Nath,Shonkho Shuvro,Aniruddhan Gowrisankar,Roopa J,Anirudh Venugopalarao,Hareesh Chandrasekar,Prosenjit Sen,Srinivasan Raghavan,R Muralidharan",06 Wide-Bandgap Power and RF Devices,1,[Invited],"Digbijoy Nath, Indian Institute of Science; Agnit Semiconductors, India "
S-band Internally Matched GaN Power Amplifiers,11 March 2025 (Tuesday),10:05am,morning," Multifunction Hall 2&3, 2/F, 17W",T-6-2-3,9:25am to 10:50am,EDTM25-000563,S-band Internally Matched GaN Power Amplifiers,"In this work, the design and measurement results of two different sizes of S-band internally matched power amplifiers (IMPAs) utilizing a single GaN HEMT bare-die with a total gate width of 4200 μm are presented. The first IMPA (PA 1) aiming for a smaller package size, only matches the impedance at the fundamental frequency. The output power and power-added efficiency (PAE) are 20W/55% and a gain variation of only ±0.2 dB within a 20% fractional bandwidth (FBW). Conversely, the second IMPA (PA 2) employs a 2nd-harmonic matching network, effectively enhancing the output power and PAE. Pulse measurement results show that PA 2 achieves a maximum PAE of 60% at a center frequency of 3 GHz, with a maximum saturated output power of 44 dBm (25 W).  Compared with PA 1, the lateral dimension of the package is increased by 4.5 × 3 mm2. Both IMPAs achieve an optimal trade-off between wide bandwidth, high PAE, and small size. ","Li Zhang,Xuefeng Zheng,Zheng Chen,Changcheng Zhang,Zhida Wu,Zhipeng Ren,Pengbo Du,Hanbin Qu",06 Wide-Bandgap Power and RF Devices,0,,"Li Zhang,Xuefeng Zheng,Zheng Chen,Changcheng Zhang,Zhida Wu,Zhipeng Ren,Pengbo Du,Hanbin Qu, Xidian University, China "
Optimization of Scaling-Down Performance in Sub-100 nm AlGaN/GaN HFETs Based on Electron velocity,11 March 2025 (Tuesday),10:20am,morning," Multifunction Hall 2&3, 2/F, 17W",T-6-2-4,9:25am to 10:50am,EDTM25-000312,Optimization of Scaling-Down Performance in Sub-100 nm AlGaN/GaN HFETs Based on Electron velocity modulation,"In the present study, an investigation as conducted into the effects of electron velocity modulation (∆ve/∆Vgs) and the short-channel effect (SCE) on high-frequency and DC performance for Sub-100 nm AlGaN/GaN HFETs. Experimental and simulation methods were employed to elucidate electron and heat transport in Sub-100 nm AlGaN/GaN HFETs. Devices with gate length (Lg) varying from 500 to 80 nm were fabricated. The devices exhibited  maximum transconductance (gm) when the aspect ratio (Lg/d) fell within the range of 3.84-8.56. Additionally, Lg/d exceeding 6.85 was found to effectively regulate the channel current for high-frequency applications, mitigating SCE while maintaining other device characteristics such as threshold voltage shift (∆Vth). As Lg scaled down from 350 to 80 nm, the larger ∆ve/∆Vgs resulting from increased Polarization Coulomb field (PCF) scattering continued to enhance the gm. ","Wang Mingyan,Yuanjie Lv,Heng Zhou,Chao Liu,Peng Cui,Zhaojun Lin,Sen Huang",06 Wide-Bandgap Power and RF Devices,0,,"Wang Mingyan,Yuanjie Lv,Heng Zhou,Chao Liu,Peng Cui,Zhaojun Lin,Sen Huang, Institute of Microelectronics, Chinese Academy of Sciences, China "
Improved Ohmic Contact Resistance and DC Performance of InAlN/GaN HEMTs with Si-incorporated Contact,11 March 2025 (Tuesday),10:35am,morning," Multifunction Hall 2&3, 2/F, 17W",T-6-2-5,9:25am to 10:50am,EDTM25-000043,Improved Ohmic Contact Resistance and DC Performance of InAlN/GaN HEMTs with Si-incorporated Contact Scheme,"In this work, we propose a Si-incorporated ohmic contact scheme. An ultra-low contact resistance of <0.1 Ω·mm is demonstrated, representing an 82.7% reduction compared to the conventional scheme. This excellent ohmic contact significantly enhances the DC performance of InAlN/GaN HEMTs. Specifically, the maximum drain current (IDS,max) increases by over 30%, and the on-resistance (RON) decreases by over 20%. These results present a promising approach to promote GaN HEMTs in high-power and high-frequency switching applications.","Yang Jiang,Fangzhou Du,Xinyi Tang,Ziyang Wang,Kangyao Wen,Zhongrui Wang,Qing Wang,Hongyu Yu",06 Wide-Bandgap Power and RF Devices,0,,"Yang Jiang,Fangzhou Du,Xinyi Tang,Ziyang Wang,Kangyao Wen,Zhongrui Wang,Qing Wang,Hongyu Yu, Southern University of Science and Technology, China "
Opportunities for Wide and Ultrawide Bandgap Devices with Heterogenous Integration,11 March 2025 (Tuesday),9:25am,morning," Function Hall, 1/F, 12W",T-9-1-1,9:25am to 10:50am,EDTM25-000578,Opportunities for Wide and Ultrawide Bandgap Devices with Heterogenous Integration,"This work reviews the latest progress in wide and ultrawide bandgap semiconductor RF and power devices, in particular selected highlights in GaN and Ga2O3 technologies are presented. Ga2O3 trench diodes with the highest reported breakdown voltage of 4kV are discussed, in addition to the benefits of heterogenous integration, for example, with diamond, are highlighted. ",Martin Kuball,09 Packaging and Heterogenous Integration,1,[Keynote],"Martin H H Kuball, University of Bristol, UK "
Advanced Micro-Transfer Printing Technology for Heterogeneous Integration,11 March 2025 (Tuesday),9:55am,morning," Function Hall, 1/F, 12W",T-9-1-2,9:25am to 10:50am,0.0,Advanced Micro-Transfer Printing Technology for Heterogeneous Integration, ,0.0,09 Packaging and Heterogenous Integration,0.0,[Invited],"Yunda Wang, Hong Kong University of Science and Technology, Hong Kong "
Monolithic heterogeneous integration strategy of III-Nitrides,11 March 2025 (Tuesday),10:15am,morning," Function Hall, 1/F, 12W",T-9-1-3,9:25am to 10:50am,EDTM25-000559,Monolithic heterogeneous integration strategy of III-Nitrides,"Heterogeneous integration of III-Nitrides have the potential application in on-chip communication, display technology, sensor system. The strategy of integrating different devices or materials might be constrained by process methods, especially in the monolithic integration fields. Different technical route has been proposed including fabricating the composite substrate, transfer and bonding the chips to target substrate. Here, we proposed the selective area growth (SAG), transfer process enabled by h-BN assisted epitaxy technologies to achieve the low-cost heterogeneous integration of III-Nitrides.","Rui He,Renfeng Chen,Junxue Ran,Junxi Wang,Tongbo Wei",09 Packaging and Heterogenous Integration,0,,"Rui He,Renfeng Chen,Junxue Ran,Junxi Wang,Tongbo Wei, Institute of semiconductor, Chinese Academy of Sciences, China "
Synergistic Optimization of Thermal and Electrical Performances in Hetero-integrated β-Ga2O3 SBDs,11 March 2025 (Tuesday),10:30am,morning," Function Hall, 1/F, 12W",T-9-1-4,9:25am to 10:50am,EDTM25-000452,Synergistic Optimization of Thermal and Electrical Performances in Hetero-integrated β-Ga2O3 SBDs,"This work combines 3D Raman thermography with electrothermal simulations to study the thermal behaviors of hetero-integrated β-Ga2O3-on-SiC (GaOISiC) and β-Ga2O3 bulk Schottky barrier diodes (SBDs). It shows the benefits of hetero-integration in significantly enhancing heat dissipation. Moreover, we optimize the electrode layouts in GaOISiC SBDs by balancing electrical and thermal characteristics to improve performance. These techniques are beneficial for accurate temperature measurement and effective heat dissipation, which are crucial for β-Ga2O3-based devices.","Yinfei Xie,Yang He,Zhengyue Li,Wenhui Xu,Tiangui You,Xin Ou,Huarui Sun",09 Packaging and Heterogenous Integration,0,,"Yinfei Xie,Yang He,Zhengyue Li,Wenhui Xu,Tiangui You,Xin Ou,Huarui Sun, Harbin Institute of Technology, Shenzhen, China "
Dual Driven Approaches for General Purposed Brain Inspired Computing,11 March 2025 (Tuesday),9:25am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-2-1,9:25am to 10:50am,EDTM25-000600,Dual Driven Approaches for General Purposed Brain Inspired Computing,"Modern Von Neumann-based computers are increasingly inadequate to meet current computational demands. Brain-inspired computing (BIC) offers a promising alternative, aiming to emulate the efficiency, adaptability, and learning capabilities of the human brain. Despite significant progress, a unified technological solution for BIC has yet to emerge. This talk reviews recent BIC advancements, covering theories, chips, software, and systems. Key challenges and potential solutions for robust BIC systems and the development of general purposed BIC are also examined.","Luping Shi,Yuqing Cong,Wei Zhang","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1,[Invited],"Si Luping, Tsinghua University, China "
Heterogeneously Integrated Intelligent System for Learning at the Edge,11 March 2025 (Tuesday),9:45am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-2-2,9:25am to 10:50am,EDTM25-000615,Heterogeneously Integrated Intelligent System for Learning at the Edge,"Edge learning deploys training directly on IoT devices to enable real-time, on-device adaptation. The edge learning reduces data movement and processing overhead, but puts high demand on computing capability of edge devices. In this paper, we discuss a unified heterogeneous integration architecture, building on our recent advancements in 3D memristors, ECRAM arrays, and 3D hetero-integration techniques. With 3D memristor arrays for convolutional preprocessing and ECRAM arrays for efficient in-situ learning, the system achieves high-throughput, low-power processing suitable for real-time applications.","Wenju Huo,Peng Chen,Peng Lin,Gang Pan","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1,[Invited],"Peng Lin, Zhejiang University, China "
Novel Ferroelectric Tunnel FET-based Computing-in-memory with In-situ XOR Cipher-Encrypted AND-Type,11 March 2025 (Tuesday),10:05am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-2-3,9:25am to 10:50am,EDTM25-000424,Novel Ferroelectric Tunnel FET-based Computing-in-memory with In-situ XOR Cipher-Encrypted AND-Type Multiply-Accumulate for Secure Edge AI,"In this work, a novel ferroelectric tunnel FET (FeTFET) based computing-in-memory (CIM) system incorporating in-situ XOR cipher-encrypted AND-type multiply-accumulate (MAC) functionality is proposed and experimentally demonstrated for the first time. Leveraging the dual-modulation effect and ambipolarity of FeTFET, the activation (x) is represented by drain-controlled band-to-band tunneling (BTBT), while XOR operations between the Key and stored encrypted weight (w_e) are performed by ferroelectric-gate-controlled non-monotonic BTBT at both drain and source junctions. The in-situ XOR cipher-encrypted AND-type multiplication is realized within a single FeTFET, fabricated on a 14 nm FinFET platform, thereby eliminating decryption circuits. Based on the design, encrypted neural networks are demonstrated with reduced hardware costs and high energy efficiency, highlighting its potential for secure edge AI applications.","Jin Luo,Zhiyuan Fu,Qianqian Huang,Ru Huang","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0,,"Jin Luo,Zhiyuan Fu,Qianqian Huang,Ru Huang, Peking University, China "
Electrical Tunability in Band-to-Band-Tunneling based Neuron for Low Power Neuromorphic Computing,11 March 2025 (Tuesday),10:20am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-2-4,9:25am to 10:50am,EDTM25-000532,Electrical Tunability in Band-to-Band-Tunneling based Neuron for Low Power Neuromorphic Computing,"In this work, we show the electrical control in the ultra-energy and area-efficient BTBT-based Si-neuron and the impact on network performance. We show the control of gate bias and current threshold on the spiking threshold and frequency. Finally, we show the impact of such design space on SNN performance and a 10-layer spiking Convolutional Neural Network (CNN). The result demonstrates that neurons' post-fabrication electrical tuning capability is essential for SNN performance improvement.","Shubham Patil,Jayatika Sakhuja,Anmol Biswas,Hemant Hajare,Abhishek Kadam,Shreyas Deshmukh,AJAY KUMAR SINGH,Sandip Lashkare,Nihar Ranjan Mohapatra,Udayan Ganguly","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0,,"Shubham Patil,Jayatika Sakhuja,Anmol Biswas,Hemant Hajare,Abhishek Kadam,Shreyas Deshmukh,AJAY KUMAR SINGH,Sandip Lashkare,Nihar Ranjan Mohapatra,Udayan Ganguly, IIT Bombay, India "
Novel Hybrid Gate Ferroelectric Transistor-based Weight Device with High Linearity and Symmetry for On-Chip,11 March 2025 (Tuesday),10:35am,morning," Conference Hall 6&7, 2/F, 8W & 10W",T-13-2-5,9:25am to 10:50am,EDTM25-000574,Novel Hybrid Gate Ferroelectric Transistor-based Weight Device with High Linearity and Symmetry for On-Chip Learning,"In this work, a novel hybrid gate ferroelectric (FE) transistor (HG-FeFET) based weight device is proposed and experimentally demonstrated for the first time, enabling high linearity and symmetry for enhanced on-chip learning. By leveraging the FE-thickness-dependent coercive voltage (VC) distributions of FE layers, and the superposition effect of VC distributions in parallel FE layers, the HG-FeFET, featuring hybrid FE layers of varying thicknesses connected in parallel, achieves a broadened VC distribution. This results in a 3.6-fold improvement in linearity and symmetry under identical programming pulses, as well as higher weight precision. Based on the proposed HG-FeFET, the on-chip learning process of image recognition is demonstrated with high accuracy of 95.33%, showing its great potential for edge AI applications.","Yuxin Lin,Jin Luo,Zerui Chen,Qianqian Huang,Ru Huang","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0,,"Yuxin Lin,Jin Luo,Zerui Chen,Qianqian Huang,Ru Huang, Peking University, China "
Nanorods-based Memristors : Advancing Bio-inspired System and Neuromorphic Computing,11 March 2025 (Tuesday),11:00am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-3-1,11:00am to 12:30pm,EDTM25-000639,Nanorods-based Memristors : Advancing Bio-inspired System and Neuromorphic Computing,Memristors are promising next-generation devices due to their energy efficiency and high data processing capabilities. Recent studies have extensively reported using memristors to mimic the human sensory system and function as versatile simulation platforms for artificial intelligence applications. This review explores the development of high-performance memristors incorporating oxide nanorods and their applications in mimicking the human sensory system and advanced computing.,"Jung Ho Yoon,Ji Eun Kim,Suk Yeop Chun,Keunho Soh",04 Memory Technologies,1,[Invited],"Jung Ho Yoon, Sungkyunkwan University (SKKU), South Korea "
High Density and High Reliability (H2DR) RRAM for Advanced Memory Technology,11 March 2025 (Tuesday),11:20am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-3-2,11:00am to 12:30pm,EDTM25-000658,High Density and High Reliability (H2DR) RRAM for Advanced Memory Technology,"The rapid advancement of emerging fields such as artificial intelligence has significantly increased the demand for high-performance embedded memory. Resistive random-access memory (RRAM) has received substantial attention due to its simple structure and exceptional integration density. This paper addresses the critical requirements of high-density and high-reliability (H2 DR) RRAM, providing an in-depth analysis of key technologies for both 2D and 3D RRAM. Involving oxygen vacancy modulation, innovative memory cell designs, and advanced programming methodologies. In combination, these advancements establish a technical foundation for the large-scale integration of RRAM in future applications.","Zongwei Wang,Zimeng Wu,Lin Bao,Qishen Wang,Yuhang Yang,Shengyu Bao,Jingwei Sun,Cuimei Wang,Yimao Cai,Ru Huang",04 Memory Technologies,1,[Invited],"Zongwei Wang, Peking University, China "
4.6-bits-per-cell Resistive Probabilistic-bit Computing for High-efficient Evaluation of Bio-Genomic Evolution,11 March 2025 (Tuesday),11:40am,morning," Conference Hall 4&5, 2/F, 8W & 10W",T-4-3-3,11:00am to 12:30pm,EDTM25-000079,4.6-bits-per-cell Resistive Probabilistic-bit Computing for High-efficient Evaluation of Bio-Genomic Evolution Achieving 6.25x Acceleration of Data-operations,"The multiple-resistive-probabilistic-bit-per-cell has been firstly proposed to accelerate the computing of bio-genomic evolution, especially on the super virus (SARS-Cov-2) genome. With the assistance of the gradual-SET/RESET operations, the 4.6-bits-per-cell (25-states) 1T1R array has been to demonstrate the effectiveness of this concept. The genomic evolution includes two mechanisms: the genomic mutation and searching. Therefore, a mutation engine of the SARS-Cov-2 has been constructed on this platform and conducts the phylogenetic tree of the virus. Meanwhile, for the genomic searching, “4.6-bits-GenePara Accelerator (4.6GPA)” has been developed to accelerate 6.25x of the data operations. As a result, the probabilistic-bits contain great potential to predict the occurrence of the super virus to prevent the next pandemic. ","Kai-Wen Cheng,易叡 謝",04 Memory Technologies,0,,"E-Ray Hsieh, Kai-Wen Cheng, National Central University, Taiwan "
