,index,transaction,title,abstract,authors,track,invited
63,63,EDTM25-000095,GeTe9 Ovonic Threshold Switch Memristor-centered 1S1T1R cell as Bio-realistic Stochastic Synapse,"Biological synapses conserve significant energy within the  brain's complex networks due to their stochastic switching  behavior, which is crucial for neuromorphic probabilistic  computing. To replicate this, GeTe9 OTS devices were  fabricated, exhibiting switching mechanisms consistent with  biological synapses, thereby providing the necessary  randomness for stochastic synapses. Furthermore, we  implemented a bio-realistic stochastic synapse using the  proposed 1S1T1R"" structure. The random switching  characteristics were successfully validated through Cadence  simulations.""","Xinyu Wen,Kuan Wang,Lun Wang,Qi Chen,Hao Tong,Xiangshui Miao,Yuhui He",04 Memory Technologies,0
64,64,EDTM25-000096,Development of an Inkjet-Printed Sensor using Ink locked Food-Based Nano Conductive paste for Electrochemical sensing of Insulin: A First attempt,"This work introduces the first inkjet-printed electrochemical sensor utilizing a food-based nano conductive paste (FN-CoP) for insulin detection. FN-CoP, composed of activated charcoal, vegetable gelatin, and oral rehydration salts, is developed in-house as an eco-friendly and biocompatible alternative to traditional carbon pastes. Inkjet printing allows for precise electrode patterning while minimizing material waste. FN-CoP demonstrates high conductivity (1484 S/m) and when validated for electrochemical insulin sensing, it shows excellent sensitivity, with a limit of detection (LoD) of 1.8 pM. Its strong adhesion and compatibility across various substrates (glass, polyamide, cloth) indicate its potential for broader applications in biosensing and energy-related technologies.","Ramya K,Sanket Goel","10 Sensor, MEMS, Bio-Electronics",1
65,65,EDTM25-000101,Chirality Reversal Related Spin-Orbit Torque Switching in Nanoscale Perpendicular Ferromagnet,"The miniaturization of magnetic memory to nanometer scale requires a theoretical model to accurately predict the switching current. Previous models show large discrepancy with experimental results in studying the spin-orbit torque switching of perpendicular magnets. In this study, we find that magnetization follows a smooth transition during the switching, which allows for a reduced switching current. Guided by this refined physical picture, we identify the reversal of precession chirality as a pivotal factor and develop an analytical model which shows good alignment with the experimental data. Our work provides a more comprehensive understanding of the current-induced magnetization switching mechanism, which will benefit the developments in spin-orbit torque magnetic random-access memory.","Xue Zhang,Zhengde Xu,Zhifeng Zhu",04 Memory Technologies,0
66,66,EDTM25-000103,Portable NV (Nitrogen Vacancy) Vector Magnetometer with High Sensitivity and Wide Dynamic Range,"In this study, we propose a compact, integrated vector magnetometer that can simultaneously measure the dynamic magnetic field at the nitrogen vacancy (NV) centers in diamond. The device is capable of converting the detected magnetic field into its respective components within a spatial coordinate system. The system employs a multi-channel phase-lock technique to retrieve magnetic field information along each NV axis from fluorescence signals captured by a single photodetector, enabling real-time vector measurements. The stability and dynamic range of the system is improved by adjusting the microwave frequency in real time.","Yingjie Yang Yang,zongmin Ma,jun liu","10 Sensor, MEMS, Bio-Electronics",0
67,67,EDTM25-000104,MoS2 transistors based 2T0C DRAM Optimized with Optical Modulation and Read Pulse Compensation,"The capacitor-less two-transistor configuration (2T0C) brings further possibility for dynamic random access memory (DRAM) scaling down. Monolayer molybdenum disulfide (ML MoS2) has a relatively wide band gap and low leakage current, which can be applied to 2T0C cell. In this work, 1-2L MoS2 transistors based 2T0C DRAM cells are fabricated. The threshold voltages (Vth) of MoS2 transistors are modulated via a simple illumination process to make an operation balance between write transistors and read transistors. Moreover, the capacitive coupling effect at the storage-node (SN) could be optimized by a read pulse compensation. Finally, we demonstrate 2T0C DRAM cell based on 1-2L MoS2 with a retention time (tret) of 31.1s and low leakage current below 10-15A/μm, at the hold voltage (Vhold) of 0V.","Gongpeng Lan,Dongdong Sun,Haotian Fang,Wuqing Fang,Yuanyuan Shi",01 Materials,0
68,68,EDTM25-000105,Solution-processed oxide semiconductors-based enhancement-mode thin-film transistor circuits for artificial spiking neurons,"Artificial spiking neurons have ascended as a distinguished solution for sensory information processing. However, the complexity and inherent rigidity of CMOS neuron circuits constrain their energy efficiency and adaptability for flexible integration. In this work, we successfully achieved an artificial spiking neuron circuit using enhancement-mode solution-processed indium oxide (In2O3) thin-film transistors (TFTs). This circuit encodes sensory information into spike signals, utilizing integration and fire along with frequency modulation, thereby enabling more energy-efficient processing.","Jiayi Mao,Qi Huang,Bowen Zhu",11 Flexible and Wearable Electronics,1
69,69,EDTM25-000107,CMOS BEOL Compatible Metal-Oxides Logics and Memories for New Paradigm Computing in the Post-Moore Era,"Low temperature processable electronic materials have been garnering increasing research attention due to its compatibility in deposition on a large variety of substrates, and ability for monolithic 3D (M3D) integration for high device density. This makes it suitable for a plethora of applications ranging from conventional applications in high performance computing, to unique applications such as in bioelectronics. Among them, metal-oxide have emerged as pivotal materials with it able to function as memory and logic devices. Here, we present briefly the development of metal-oxides technology in logic devices and related circuits, as well as emerging memory devices for new computing paradigm. The challenges and future outlook for the use of metal-oxides in future electronics are then concluded.","Yida Li,Feichi Zhou","10 Sensor, MEMS, Bio-Electronics",1
70,70,EDTM25-000110,Endurance Optimization of 40nm RRAM towards 10^6 cycles by Tuning the Stoichiometry of TiN Bottom Electrode,"This work proposes tuning the stoichiometry of TiN bottom electrode (BE) as an effective approach to improve the endurance of 40nm resistive random-access memory (RRAM). By adopting an inert TiN BE, the optimized RRAM achieves a high endurance close to 10^6 cycles, matching the performance of embedded Flash (eFlash). The mechanism for the impact of TiN stoichiometry on the endurance performance is clarified through electrical tests and material characterizations.","Chengxiang Ma,Qianze Zheng,Ruofei Hu,Yilong Huang,Kaimeng Liu,Yuelin Jiang,Siyu Chen,Jianshi Tang,Dong Wu,Bin Gao,He Qian,Huaqiang Wu",04 Memory Technologies,0
71,71,EDTM25-000112,Optimized Electric Field Distribution and Dynamic Performance in GaN HEMTs using Segmented-Extended p-GaN Gate Structures,"A segmented-extended p-GaN gate (SEP) structure for AlGaN/GaN HEMTs was developed to address electric field challenges and enhance dynamic RON. The SEP structure, combining traditional and extended p-GaN gate designs, demonstrated improvements in OFF-state electric field distribution and dynamic RON compared to traditional designs. 3D TCAD simulations revealed that reduced segmented dimensions significantly benefit OFF-state electric field modulation, providing insights into optimizing both reliability and dynamic performance in GaN power devices.","Xinyue Dai,Haiyang Li,Qimeng Jiang,Xiaoping Wang,Yuxi Wan",06 Wide-Bandgap Power and RF Devices,0
72,72,EDTM25-000113,Piezoresistive Internal Stress Sensing and Gas Detection via Polymer Swelling,"This study presents a silicon-based nanomechanical piezoresistive gas sensor, enhanced by a suspended structure with functionalized polymers as gas absorbers with Si slits. The suspended design, exposing both sides to gas, increases sensitivity and expands the detection range by translating gas-induced stress into electrical signals. The stress, concentrated at the piezoresistor via cantilever lateral deflection, enhances strain, yielding approximately 20-40 times higher sensitivity than conventional sensors. Each sensor, coated with different polymers, shows high responsiveness to a variety of volatile compounds and gases.",Masaya TODA,"10 Sensor, MEMS, Bio-Electronics",1
73,73,EDTM25-000115,Understanding the impact of discrete trap positions and mapping the hysteresis dynamics in MoS2 FETs by advanced TCAD modeling,"Locally increased defect densities in gate insulators, for instance due to not properly adjusted processing, could present a serious reliability problem for 2D FETs. By doing advanced TCAD modeling, here we for the first time demonstrate that hysteresis dynamics in MoS2 FETs may depend on the trap position in oxide. Furthermore, we show that in some positions defects may cause a localized hysteresis of both signs and introduce the universal hysteresis mapping method to properly benchmark this behavior. Finally, we revisit previous experimental results for FAB MoS2 FETs and show that our TCAD-inspired method can add more understanding to the observed hysteresis dynamics","Yezhu Lv,Yajing Chai,Yury Illarionov",08 Reliability and testing,0
74,74,EDTM25-000116,Flexible pulse waveform sensor array for cuffless PWV measurement,"Wearable devices are increasingly used for non-invasive pulse wave velocity (PWV) monitoring, with pressure sensors being the primary tools for tracking pulses. However, most existing pressure sensors require preloading through cuffs or tapes, thereby introducing variability due to tightness differences across users. Here we present a self-powered, cuffless device for PWV monitoring that overcomes these limitations by eliminating preloading requirements, thereby offering a more reliable and user-friendly solution for continuous PWV measurement. ","Zhou Jiang,Cunman Liang,Ni Zhao",11 Flexible and Wearable Electronics,0
75,75,EDTM25-000117,Physical Unclonable Function in Spiking Neural Network Based on In-Te Ovonic Threshold Switching Devices,"This work presents a threshold-adjustable leaky integrate-and-fire (LIF) neuron based on In3Te7 ovonic threshold switching (OTS) devices with high endurance and low leakage current. A two-layer spiking neural network (SNN) built with the neurons achieves 85% accuracy in handwritten digit recognition. Additionally, a physical unclonable function (PUF) based on the LIF neurons demonstrates high uniqueness and reliability. This hardware solution integrated with neuromorphic computing system offers a new approach for data security, which is crucial for AIoT.","Ming Xu,Huan Wang,Qihang Zhu,Hengyi Hu,Yi Li,Xiangshui Miao",04 Memory Technologies,0
76,76,EDTM25-000118,Direct Backside Contact Impact on 3-dimensional Stacked FET SRAM Beyond 1nm Node,"Direct Backside Contact (DBC) is crucial for reducing the logic standard cell and SRAM bitcell area in 3-Dimensional Stacked FET (3DSFET) beyond 1nm node. Among various backside interconnection (BSI) methods, we propose using DBC for the PMOS device and front-side interconnection for the NMOS device. This approach achieves a 28% improvement in SRAM bitcell area scalability, a reduction in external resistance, and an increase in PD and PG transistor on-current by 7.2%, IREAD by 4.7%, and Gamma by 7.2%, demonstrating DBC's effectiveness for advanced CMOS scaling in 3DSFET architecture.","Mingyu Kim,Jaehyun Park,Sungil Park,Kyunghwan Lee,Deuk Ho Yeon,Daewon Ha,Hyungcheol Shin",03 Advanced Semiconductor (Logic) Devices,0
77,77,EDTM25-000121,Highly Sensitive and Polarization Selective Au Serrate Nanogratings Fabricated by Nanoimprint Lithography,"In this work, we propose a low cost and high throughput novel asymmetric nanogratings fabricated by nanoimprint lithography. The proposed structure is 160 nm linewidth, 600 nm pitch and 1 cm2 area. The proposed Au serrate nanogratings could induce surface charges under both TE and TM polarized light due to the asymmetric serrates. The measured sensitivity of serrate nanogratings is 561 nm/RIU. In addition, the resonance peak could be tunable by fabricating different nanostructures with the same nanoimprint mold.","Chunxia Li,Shuyan Zhu",12 Nanotechnologies,0
78,78,EDTM25-000122,High-performance InSnO/ZnO heterojunction transistors and inverters,"We demonstrate high-performance InSnO/ZnO (ITO/ZnO) heterojunction transistors and inverters. The core properties of the ITO/ZnO transistors include a high field-effect mobility of 74.92 cm2/Vs, a small subthreshold swing of 123.96 mV/decade, and a large on/off current ratio of more than 107. The ITO/ZnO transistors also exhibit excellent stability, with a threshold voltage shift of -0.03 V and -0.18 V under negative bias stress (NBS) and negative bias illumination stress (NBIS), respectively. In addition, the inverters based on ITO/ZnO transistors show a gain of 15.25 V/V. Our findings manifest the huge potential of the heterojunction transistors in the field of integrated circuits.
Keywords: heterojunction transistor, inverters, stability
","dengqin xu,tingzhen Yi,junchen dong,lifeng liu,dedong han,xing Zhang",03 Advanced Semiconductor (Logic) Devices,0
79,79,EDTM25-000123,A 1.8TB/s HBM Heterogeneously Integrated GPU Design Exploring 2.5D Packaging Technology,"2.5D packaging supports high-speed data transmission, meeting performance requirements of GPU. However, signal integrity (SI) is a key challenge to packaging. This paper demonstrates a GPU with HBM and adopts 2.5D packaging technology. A series of design schemes are proposed, including 4-marker die-interposer alignment, 5-metal-layer connection with HBM by TSV. Moreover, Cup bump and octagon under bump metallurgy technologies are used in interposer to improve signal transmission quality. The measurement results illustrate these technologies can improve SI effectively, achieve 1.8 TB/s bandwidth in 2.5D packaging.","Shuang Wang,Weiliang Chen,Chen Jiang,Xueqing Li,Huazhong Yang",09 Packaging and Heterogenous Integration,0
80,80,EDTM25-000126,9-kV p-GaN Gate HEMT with Gate Termination Extension Demonstrated on Sapphire Substrate for Improved Breakdown Voltage,"In this work, a 9-kV E-mode p-GaN gate HEMT with gate termination extension (GTE-HEMT) is demonstrated on sapphire substrate. The GTE-HEMT with LGD = 77 μm exhibits a low RON of 39.5 Ω·mm and a specific RON of 34.76 mΩ·cm2. Moreover, the gate termination extension effectively reduces the electric filed peak at the gate edge, leading to a high breakdown voltage of 9582 V and an excellent figure of merit (FOM) of 2.64 GW/cm2.","jingjing yu,Junjie Yang,Jiawei Cui,Hao Chang,Sihang Liu,Yunhong Lao,Xuelin Yang,Xiaosen Liu,Jin Wei,Maojun Wang,Bo Shen",06 Wide-Bandgap Power and RF Devices,0
81,81,EDTM25-000127,Rapid and Extensive Conductance Modulation in MoOx based Electrochemical Random-Access Memory for Spiking Neuromorphic Systems,"We develop a MoOx based electrochemical random-access memory (ECRAM) for spiking neuromorphic computing. By controlling the electric-driven proton intercalation into MoOx, the adsorbed proton leads to increased carrier concentration and conductance. The device exhibits an on/off ratio of 10^5 and retention over 10^3 seconds with a rapid response in a few microseconds. By constructing a two-stage ECRAMs hardware with linear synaptic and accumulative neuronal functionalities, an all-ECRAM spiking neural network is demonstrated for image recognition.","xiaoci liang,Dongyue Su,Younian Tang,Bin Xi,Chunzhen Yang,Huixin Xiu,Jialiang Wang,Chuan Liu,Mengye Wang,Yang Chai",04 Memory Technologies,0
82,82,EDTM25-000130,TCAD and mixed-mode simulation supporting the development of contact-controlled thin-film transistors and circuits,"This paper presents recent advances in contact-controlled transistors supported by numerical simulation using Silvaco Atlas. In such devices, the source injection area, rather than the channel, governs drain current magnitude. Their correct design and application relies on deep understanding of internal operation; therefore technology computer-aided design (TCAD) is a useful optimization tool for established source-gated transistors (SGT) and emerging multimodal transistors (MMT) alike. In the absence of compact models, mixed-mode circuit simulations provide a valuable route toward application design.","Eva Bestelink,Radu Sporea",07 Modelling and Simulation,1
83,83,EDTM25-000133,Dynamic Clocked Comparator based on Flexible LTPO Technology,"This paper presents a novel Low-Temperature Poly Oxide (LTPO) StrongARM comparator. The design and simulation of this work utilize 6 μm LTPO technology. The comparator achieves a operation frequency of 2 MHz, with a rail-to-rail output swing and an input common mode voltage (VinCM) range of -4 V to 2 V input common mode voltage. The power consumption during each flip is 36 μW, with a delay of 33 ns under a 5 V power supply. Overall, this novel circuit design demonstrates its potential for low power, high performance flexible electronic systems.","Chunxiu Wang,Jiaqiao Liang,Min Zhang",11 Flexible and Wearable Electronics,0
84,84,EDTM25-000135,VO2 memristor-based adaptive neurons for electromyography signal processing,"Hardware implementations of bio-plausible neurons are highly valuable for developing sparse and efficient neuromorphic computing systems. However, traditional CMOS-based neurons require complex auxiliary circuits and bulky capacitors. Here, we experimentally demonstrate a VO2 memristor-based adaptive leaky integrate-and-fire (ALIF) neuron that enables advanced spike-frequency adaptation with ultra-low hardware cost (2T2R1C). These ALIF neurons serve as neural encoders, efficiently extracting temporal signal features with a sparse-spiking yet high-fidelity method. The spiking neural network (SNN) with ALIF achieves 97.1% accuracy in electromyography classification, showing great potential in human-computer interaction.","Rui Yang,Zhiyuan Li","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
85,85,EDTM25-000139,Fabrication and research of wide-bandgap semiconductor AlN-based unipolar memristors,"Wide-bandgap semiconductor aluminum nitride (AlN) has a wide range of applications. Here we designed memristors of Al (100 nm)/AlN (10 nm)/Al (100 nm) structure using plasma-enhanced atomic layer deposition (PEALD) and sputtering, which is compatible with CMOS technology and has the ROFF/RON ratio of 3600 times. The special electrode design allows to exhibit interesting unipolarity, enabling SET and RESET operations through only unidirectional voltage. This research reports a new structure of AlN-based memristors, which also inspires further enriching the applications of wide-bandgap semiconductor AlN.","Haiming Qin,Xinpeng Wang,Dayu Zhou,Liang Zeng,Yi Liu,Yi Tong","02 Process, Tools, Yield, and Manufacturing",0
86,86,EDTM25-000140,Reliability Optimization in Hafnium Oxide Based Ferroelectric Field-effect Transistors (FeFETs),"Hafnium oxide based ferroelectric field effect transistors (FeFETs) are promising candidates for next-generation memory, but are limited by reliability issues including endurance, variation and write disturb. This paper discusses the main causes of these reliability issues and our corresponding optimization strategies. A high endurance > 5×109 is achieved via co-optimization of the ferroelectric and interlayer. Variation of Vth is reduced by 36% through ferroelectric grain size engineering. Nearly disturb-free operation is demonstrated with our proposed self-compensated write scheme.","Kechao Tang,Yuejia Zhou,Zhongxin Liang,Ru Huang",04 Memory Technologies,1
87,87,EDTM25-000141,High-Performance 2D FETs with Single-Crystal Anatase TiO2 High-κ Dielectric,"Several bottlenecks must be resolved before two-dimensional (2D) materials-based transistors can be adopted for advanced electronics, particularly the challenge of coupling high-κ dielectrics with 2D semiconductors without adverse effects and continuing to scale their capacitance equivalent thickness (CET). In this work, we have developed a novel single-crystal dielectric and a corresponding integration approach to achieve 2D MoS2 field-effect transistors (FETs) with outstanding performance, including steep SS (~ 68 mV/dec) and high ON/OFF ratio (> 107).","Ni Yang,Ji Zhang,Yu-Ming Chang,Fangyuan Zheng,Lingqi Li,Chenyang Li,Jian Liu,Dong-Keun Ki,Yi Wan,Sean Li,Kah-Wee Ang,Jingkai Huang,Lain-Jong Li",01 Materials,0
88,88,EDTM25-000143,All-Optical Modulated Artificial Synapse Based on Quantum dots/Oxide Heterojunction for Neuromorphic Visual Simulation,Artificial synapses capable of optical sensing and synaptic functions are essential for developing neuromorphic visual systems. We utilized quantum dots (QDs)/oxide heterostructure to achieve bidirectional synaptic weight modulation under ultraviolet and infrared light by the change of depletion layer width of the p-n junction. Such an all-optically controlled artificial synapse shows a promising prospect for future neuromorphic visual systems.,"Yan Wang,Yingjie Tang,Yitong Chen,Dingwei Li,Huihui Ren,Guolei Liu,Fanfan Li,Qi Huang,Botao Ji,Bowen Zhu",12 Nanotechnologies,0
89,89,EDTM25-000144,Volumetric Super-Resolution Imaging based on Dual Bessel Beams STED Microscopy,"We developed a dual-Bessel beam STED (DB-STED) microscopy system for volumetric super-resolution imaging that surpasses optical diffraction limits and enhances high-throughput data acquisition. By precisely aligning a 0th order excitation Bessel beam with a 1st order depletion Bessel beam in both spatial and temporal dimensions, we achieved 69 nm lateral resolution across a 10 μm depth of field. This technique enables nanoscale visualization, significantly improving both volumetric imaging speed and resolution for advanced biomedical research.","Renlong Zhang,Haoxian Zhou,Chenguang Wang,Xiaoyu Weng,Liwei Liu,Peng Xi,Junle Qu","05 Photonics, Imaging and Display",1
90,90,EDTM25-000145,Direct Evidence of Oxygen Vacancy Generation in Whole Gate Stacks Through Multiple Electrical and Atomic-Scale Physical Methods as the Cause of Endurance Failure in FeFETs,"We have experimentally confirmed that the oxygen vacancy (VO) generation within whole gate stacks is the origin of the endurance failure in Si FeFET by multiple electrical methods and atomic-scale physical characterization techniques. Through gate leakage, low-frequency noise, and split I-V measurements, we found that defect generation occurs in whole gate stacks and electron-hole recombination during bipolar cycling plays a dominant role. Furthermore, we determined that the type of the generated defects is VO based on scanning transmission electron microscopy (STEM) and electron energy-loss spectroscopy (EELS) characterizations.","Xianzhou Shao,Hao Xu,Saifei Dai,Fengbin Tian,Xiaoyu Ke,Jiahui Duan,Min Liao,Xinpei Jia,Xiaoqing Sun,Junshuai Chai,Jun Luo,Wenwu Wang,Xiaolei Wang","02 Process, Tools, Yield, and Manufacturing",1
91,91,EDTM25-000146,Selective-Attention Neuromorphic Vision Classifications Based on α-In2Se3/Bi2O2Se Ferroelectric-Semiconductor Heterotransistors,"Herein, we present multifunctional neuromorphic vision device based on the α-In2Se3/Bi2O2Se ferroelectric-semiconductor heterojunction. Central to this innovation is the in-plane voltage that drives out-of-plane polarization coupling within the ferroelectric heterojunction, which facilitates non-volatile conductance alterations through modulating the interface charge configuration with the robust stability demonstrated over 10^4 cycles. Furthermore, the device exploits a photo-induced ferroelectric polarization reversal mechanism, resulting in a non-volatile light response that persists for over 10^3 s, accompanied with an impressive photoresponsivity of up to 10^5 A/W in the broad-spectrum range of 400-980 nm. We demonstrate the in-sensor pattern classification by the optoelectronic-ferroelectric driven spectrum-selective attention.","Xinrui Guo,Yu Zhu,Shuo Liu,Junling Liu,Ru Huang,Ming He","05 Photonics, Imaging and Display",0
92,92,EDTM25-000147,Comprehensive Investigation of the Disturb and Retention Issues in Scaled FeNAND Arrays,"HfO2-based ferroelectric field-effect transistor (FeFET) is a viable solution for next-generation 3D NAND technology. This work comprehensively investigates the array-level reliability of scaled FeNAND arrays, featuring the first exploration of the significant impact of adjacent cell interactions on both disturb and retention issues. Array-level disturb-free operation in 3 bits/cell storage is achieved by addressing disturb issues. New insights into the mechanisms underlying cell-to-cell disturb and retention degradation are provided, highlighting the critical role of electric field and charge coupling between adjacent cells.","Yuejia Zhou,Kechao Tang,Ru Huang",04 Memory Technologies,0
93,93,EDTM25-000148,Prediction of Endurance Characteristics in Si FeFET with Ferroelectric Hf0.5Zr0.5O2,"In this work, we investigate the recombination charge during endurance cycles in Si ferroelectric field-effect transistors (FeFETs) featuring Hf0.5Zr0.5O2/SiO2 gate stacks, utilizing split I-V measurements. Our findings indicate that when the memory window (MW) is reduced to 25% of its maximum value, the recombination charge during the fatigue process remains below approximately 1e6 μC/cm2 across various pulse conditions. By analyzing the recombination charge per cycle, this work provides a prediction method for the endurance characteristics of FeFETs.","Xinpei Jia,Tao Hu,Junshuai Chai,Mingkai Bai,Xiaoqing Sun,Hao Xu,Xiaolei Wang,Wenwu Wang,Tianchun Ye","02 Process, Tools, Yield, and Manufacturing",0
94,94,EDTM25-000150,A Novel FeFET-based Thermometer-Encoded Multibit Content Addressable Memory for Manhattan Distance Metric with High Area- and Energy-Efficiency,"In this work, a novel ferroelectric FET (FeFET)-based multibit content addressable memory (MCAM) through modified thermometer encoding (TE), for Manhattan distance (MD) metric is proposed for the first time. By utilizing the multilevel storage of FeFET and the modified TE scheme, the arbitrary bit-length MD metric can be implemented with ultra-low hardware cost and power consumption. Moreover, an enhanced FeFET MCAM cell, which is more suitable for the proposed modified TE scheme, is further introduced to improve the MD metric precision and reliability when expanding the bit length of MD. Based on the proposed design, the MD metric is demonstrated with 4.5×/34.8× area-efficiency and 66.7×/7.9× energy-efficiency improvements compared with conventional CMOS-based digital/CAM design, showing its great potential for MD-based applications.","Weikai Xu,Zeyu Zhang,Qianqian Huang,Ru Huang","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
95,95,EDTM25-000152,Novel High-Efficiency Large-Area Optical-to-Optical Conversion Integrated Device for Optical Signal Processing,"Utilizing optoelectronic hybrid integration technology (OHIT), a large-area optical-to-optical conversion integrated device (OTO-CID) is developed for high-efficiency optical signal conversion. It includes a PV component for absorbing complex optical signals and an OLED for emitting refined signals. The OTO-CID achieved a maximum external quantum efficiency (EQE*, the parameter to characterize the optical-to-optical conversion efficiency) of 10.43% at 20% AM1.5, showcasing a promising direction for future optoelectronic integrated techniques.","Yahui Su,Shanjing Liu,Peixuan Song,Peiran Du,Hui Wang,Juan Li","05 Photonics, Imaging and Display",0
96,96,EDTM25-000153,Van der Waals Interfacial Engineering for High-Performance Macroscopic Assembled Graphene (MAG)-Silicon Schottky Photodiodes,"In 2D layered systems, converting excessive photoexcited energy into an electrical response before losing it to the substrate is crucial for energy-efficient photodetection. These hot electron energy losses at photoemission junctions limit the carrier transfer, sensitivity, and modulation frequencies. Our study showcases improved photoresponse in macroscopic assembled graphene (MAG)/Si Schottky junctions by inserting a graphene (Gr) layer that electronically decouples MAG from Si. This van der Waals (vdW) engineering interface effectively suppresses dark current while maintaining hot carrier re-thermalization in the MAG film, leading to enhanced photo thermionic emission (PTI). This vdW interfacial engineering technique has broader implications in energy-efficient electronics, optoelectronics, and memory devices. ","Srikrishna Chanakya Bodepudi,Muhammad Abid Anwar,Muhammad Malik,Xiaolei Ding,Yance Chen,Yue Dai,Zongwen Li,Zhi-Xiang Zhang,Yunfei Xie,Wenzhang Fang,Huan Hu,Bin Yu,Yang Xu","05 Photonics, Imaging and Display",0
97,97,EDTM25-000154,Spintronic Stochastic Neuron -based Deep Belief Networks for Image Classification,"Spintronic devices hold promise for AI, particularly in Boltzmann computing architectures, due to their tunable stochastic switching. We demonstrate a SOT-tuned spintronic neuron integrated into a deep belief network for pattern classification. Its switching probability, driven by current, mirrors biological neuron activation through a sigmoid function. Integrated with RBM and logistic regression, the network achieves 97% classification accuracy, stable across temperature variations, underscoring spintronics' potential in robust AI applications.","Aijaz Lone,Meng Tang,Daniel N. Rahimi,Divyanshu Divyanshu,Camelia Florica,Selma Amara,Hossein Fariborzi,Gianluca Setti","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
98,98,EDTM25-000155,G-Universe: A Collection of In-House Technology Computer-Aided Design Simulators as a Platform for Developing New Simulation Capabilities,"In this work, G-Universe, a collection of in-house Technology Computer-Aided Design (TCAD) simulators for new simulation capabilities, is briefly introduced. After discussing the motivation of in-house TCAD development, its two major building blocks, G-Process and G-Device, are introduced with examples. Future development directions are discussed.","Sung-Min Hong,In Ki Kim,Seung-Woo Jung,Phil-Hun Ahn,Taegyeong Oh,Geon-Tae Jang,Kwang-Woon Lee,Min-Seo Jang",07 Modelling and Simulation,1
99,99,EDTM25-000159,Impact of Load-Si Thickness and Punch-Through Stopper Doping on the Electrical Performance of SOI Gate-All-Around Field-Effect Transistors,"In this article, we systematically investigate the effects of load-Si thickness and punch-through stopper (PTS) on the electrical characteristics of SOI GAAFET through 3D technology computer-aided design (TCAD). When NPTS increases to 5×1018 cm-3, the leakage of SOI GAAFET with a thick load-Si has significantly suppressed. When TSi is 5 nm or below, it is not necessary to apply the PTS scheme to achieve excellent electrical properties, thanks to stronger gate control and quantum effects.","Longyu Sun,Jiayi Zhang,Yan Li,Haoyan Liu,Xi Zhang,Yongliang Li",03 Advanced Semiconductor (Logic) Devices,0
100,100,EDTM25-000161,20 nm Gate-Length Normally-Off AlGaN/GaN HEMTs Enabled by SiNx Stress-Engineered Technique,"In this work, we proposed a SiNx stress engineered technique to achieve normally off GaN HEMTs with recess-free. By introducing compressive stress SiNx passivation, a positive threshold voltage shift of 2.91 V was achieved in devices with a gate length of 20 nm compared to devices with stress-free passivation. Additionally, this approach effectively suppressed short-channel effects, ultimately resulting in a normally-off GaN devices with a threshold voltage of 1.13 V.","Chen Deng,Qing W,Hongyu Yu,Peiran Wang",06 Wide-Bandgap Power and RF Devices,0
101,101,EDTM25-000162,RESURF Ga2O3-on-SiC Field Effect Transistors for Enhanced Breakdown Voltage,"Heterosubstrates have been extensively studied as a method to improve the heat dissipation of Ga2O3 devices. In this simulation work, we propose a novel role for p-type available heterosubstrates (e.g, SiC), as a component of a reduced surface field (RESURF) structure in Ga2O3 lateral FETs. The RESURF structure can eliminate the E-field crowding and contribute to higher breakdown voltage. The designing strategy of the p-type region, and the influence of interface conditions are systematically studied using TCAD modeling.","Junting Chen,Junlei Zhao,Xiaohan Zhang,Jin Wei,Mengyuan Hua",06 Wide-Bandgap Power and RF Devices,0
102,102,EDTM25-000164,Polyoxometalate-doped Memristor with Redox Dynamics for Reliable Single-component Artificial Neuron,"This work reported a Polyoxometalate (POM)-doped Ag/WSe2/Ag memristor (PDM) with reversible redox dynamics to implement steady leaky integrate-and-fire (LIF) neuronal behaviors. Based on POM-assisted targeted reduction of Ag+, the device demonstrates highly stable I-V characteristics and rapid self-reset performance under various voltage sweeping ranges. Besides, pulse amplitude-dependent LIF characteristics can be simulated with a pulse width of 1 ms by a single PDM, facilitating simplifying the hardware implementations of spiking neural network.","Shirui Zhu,Yan-Bing Leng,Guohua Zhang,Yu-Qi Zhang,Pengfei Han,Hecheng Cai,Ziyu Lv,Yongbiao Zhai,Ye Zhou,Suting Han",08 Reliability and testing,1
103,103,EDTM25-000166,Self-Curling Silk-Based Electrical Stimulator For Nerve Regeneration,"We report a novel wireless electrical stimulator based on a water-responsive self-curling silk film (WSF-WES), which self-curls and wraps around nerves to form a conduit upon contact with water, thereby facilitating the repair of peripheral nerve defects. Our results demonstrate that electrical stimulation via this system effectively repaired a 10 mm sciatic nerve defect in rats. This provides a new direction for the repair of peripheral nerve injuries.","Siyuan Ni,Hao Bai,Siqi Zhang,Ziyi Zhu,Zhengyu Liang,Huiran Yang,Tiger H. Tao,Xiaoling WEI,Yafei Feng,Keyin Liu","10 Sensor, MEMS, Bio-Electronics",0
